Species,latitude,longitude
Scrophularia dentata,29.34,89.63
Scrophularia dentata,29.71,91.16
Scrophularia dentata,29.51,91.06
Scrophularia dentata,29.71,97.88
Scrophularia dentata,30.10,96.96
Scrophularia dentata,29.90,95.80
Scrophularia dentata,30.71,97.61
Scrophularia dentata,31.28,96.64
Scrophularia dentata,31.46,95.64
Scrophularia dentata,31.54,93.73
Scrophularia dentata,31.96,93.83
Scrophularia dentata,29.10,93.11
Scrophularia dentata,30.53,91.14
Scrophularia dentata,29.48,90.20
Scrophularia dentata,29.72,89.14
Scrophularia dentata,29.92,85.34
Scrophularia dentata,31.25,80.78
Scrophularia dentata,33.45,79.76
Scrophularia dentata,31.92,93.87
Scrophularia dentata,32.84,77.76
Scrophularia dentata,32.92,77.50
Scrophularia dentata,32.68,78.38
Scrophularia dentata,32.75,78.32
Scrophularia dentata,32.56,78.18
Scrophularia dentata,33.58,76.83
Scrophularia dentata,33.03,77.60
Scrophularia dentata,33.24,77.15
Scrophularia dentata,33.38,77.97
Scrophularia dentata,33.11,77.78
Scrophularia dentata,33.42,77.57
