Species,latitude,longitude
Scrophularia incisa,39.12,93.4
Scrophularia incisa,37.14,100.34
Scrophularia incisa,36.34,100.43
Scrophularia incisa,39.95,96.45
Scrophularia incisa,36.58,100.5
Scrophularia incisa,34.68,100.69
Scrophularia incisa,37.11,102.35
Scrophularia incisa,49.09,117.51
Scrophularia incisa,38.17,100.02
Scrophularia incisa,35.25,100.44
Scrophularia incisa,35.56,102.19
Scrophularia incisa,37,98.68
Scrophularia incisa,36.08,99.85
Scrophularia incisa,35.83,102.64
Scrophularia incisa,38.54,100.25
Scrophularia incisa,43.93,116.03
Scrophularia incisa,48.51,116.71
Scrophularia incisa,40.97,109.45
Scrophularia incisa,41.83,110.48
Scrophularia incisa,39.72,109.82
Scrophularia incisa,42.47,111.71
Scrophularia incisa,40.84,107.45
Scrophularia incisa,38.96,105.83
Scrophularia incisa,37.41,102.9
Scrophularia incisa,42.14,110.03
Scrophularia incisa,36.66,104.74
Scrophularia incisa,38.83,101.14
Scrophularia incisa,37.22,102.85
Scrophularia incisa,35.43,106.02
Scrophularia incisa,38.89,99.67
Scrophularia incisa,39.62,94.82
Scrophularia incisa,35.37,102.88
Scrophularia incisa,46.25,102.77
Scrophularia incisa,47.81,108.49
Scrophularia incisa,33.84,99.68
Scrophularia incisa,39.63,94.33
Scrophularia incisa,37.14,100.34
Scrophularia incisa,39.95,96.45
Scrophularia incisa,36.58,100.5
Scrophularia incisa,35.58,101.5
Scrophularia incisa,37.11,102.35
Scrophularia incisa,38.17,100.02
Scrophularia incisa,35.25,100.44
Scrophularia incisa,35.56,102.19
Scrophularia incisa,37,98.68
Scrophularia incisa,36.08,99.85
Scrophularia incisa,35.83,102.64
Scrophularia incisa,36.34,100.43
Scrophularia incisa,38.54,100.25
